Object,Progenitor
NGC104,IS
NGC288,AC
NGC362,AC
Whiting1,AC
NGC1261,AC
Pal1,IS
AM1,AC
Eridanus,AC
Pal2,AC
NGC1851,AC
NGC1904,AC
NGC2298,AC
NGC2419,AC
Ko2,X
Pyxis,AC
NGC2808,AC
E3,AC
Pal3,AC
NGC3201,AC
Pal4,AC
Ko1,X
NGC4147,AC
NGC4372,IS
Rup106,AC
NGC4590,AC
NGC4833,AC
NGC5024,AC
NGC5053,AC
NGC5139,AC
NGC5272,AC
NGC5286,AC
AM4,AC
NGC5466,AC
NGC5634,AC
NGC5694,AC
IC4499,AC
NGC5824,AC
Pal5,AC
NGC5897,AC
NGC5904,AC
NGC5927,IS
NGC5946,IS
BH176,IS
NGC5986,IS
Lynga7,IS
Pal14,AC
NGC6093,IS
NGC6121,IS
NGC6101,AC
NGC6144,IS
NGC6139,IS
Terzan3,IS
NGC6171,IS
1636-283,IS
NGC6205,IS
NGC6229,AC
NGC6218,IS
FSR1735,IS
NGC6235,AC
NGC6254,IS
NGC6256,IS
Pal15,AC
NGC6266,IS
NGC6273,IS
NGC6284,AC
NGC6287,IS
NGC6293,IS
NGC6304,IS
NGC6316,IS
NGC6341,AC
NGC6325,IS
NGC6333,IS
NGC6342,IS
NGC6356,IS
NGC6355,IS
NGC6352,IS
IC1257,AC
Terzan2,IS
NGC6366,IS
Terzan4,IS
HP1,IS
NGC6362,IS
Liller1,IS
NGC6380,IS
Terzan1,IS
Ton2,IS
NGC6388,IS
NGC6402,IS
NGC6401,IS
NGC6397,IS
Pal6,IS
NGC6426,AC
Djorg1,AC
Terzan5,IS
NGC6440,IS
NGC6441,IS
Terzan6,IS
NGC6453,IS
UKS1,IS
NGC6496,IS
Terzan9,IS
Djorg2,IS
NGC6517,IS
Terzan10,AC
NGC6522,IS
NGC6535,IS
NGC6528,IS
NGC6539,IS
NGC6540,IS
NGC6544,IS
NGC6541,IS
2MS-GC01,IS
ESO-SC06,AC
NGC6553,IS
2MS-GC02,IS
NGC6558,IS
IC1276,IS
Terzan12,IS
NGC6569,IS
BH261,IS
GLIMPSE02,X
NGC6584,AC
NGC6624,IS
NGC6626,IS
NGC6638,IS
NGC6637,IS
NGC6642,IS
NGC6652,IS
NGC6656,IS
Pal8,IS
NGC6681,IS
GLIMPSE01,X
NGC6712,IS
NGC6715,AC
NGC6717,IS
NGC6723,IS
NGC6749,IS
NGC6752,IS
NGC6760,IS
NGC6779,AC
Terzan7,AC
Pal10,IS
Arp2,AC
NGC6809,IS
Terzan8,AC
Pal11,IS
NGC6838,IS
NGC6864,AC
NGC6934,AC
NGC6981,AC
NGC7006,AC
NGC7078,IS
NGC7089,AC
NGC7099,AC
Pal12,AC
Pal13,AC
NGC7492,AC
