ID,Name,L,R_gc,vel,v_fit_sin,v_resid_sin
NGC 1851,,244.51,16.6,303.8,102.93339540304959,200.86660459695042
NGC 3201,,277.23,8.8,482.9,116.97765509022364,365.92234490977637
Rup 106,,300.88,18.5,-49.7,102.70844519118093,-152.40844519118093
NGC 4590,M 68,299.63,10.2,-96.8,103.95251242757676,-200.75251242757676
NGC 5139,omega Cen,309.1,6.4,228.9,93.27541784625451,135.6245821537455
NGC 5466,,42.15,16.3,121.2,-83.6286417993079,204.8286417993079
NGC 5694,,331.06,29.4,-136.2,58.79050853438038,-194.99050853438035
NGC 5927,,326.6,4.6,-107.2,66.73573459078115,-173.93573459078115
Pal 14,AvdB,28.74,71.6,87.0,-59.542642100206976,146.542642100207
NGC 6101,,317.74,11.2,357.0,81.17873534646282,275.8212646535372
NGC 6144,,351.93,2.7,201.9,17.288820347708334,184.61117965229167
Terzan 3,,345.08,2.5,-130.6,31.51999816332025,-162.11999816332025
NGC 6273,M 19,356.87,1.7,143.8,6.8126782134003845,136.98732178659964
NGC 6287,,0.13,2.1,-279.1,-0.15533928784608264,-278.94466071215396
NGC 6293,,357.62,1.9,-137.4,5.212293645923212,-142.61229364592322
NGC 6333,M 9,5.54,1.7,239.8,-11.745410554304872,251.54541055430488
NGC 6342,,4.9,1.7,126.3,-10.375247507444765,136.67524750744477
NGC 6355,,359.59,1.4,-167.9,1.0006546170354058,-168.9006546170354
NGC 6352,,341.42,3.3,-134.1,38.92034331776081,-173.02034331776082
Ton 2,Pismis 26,350.8,1.4,-178.6,19.664273911783408,-198.2642739117834
Pal 6,,2.1,2.2,190.2,-4.3757668895553605,194.57576688955535
Djorg 1,,356.69,5.7,-355.0,7.19646913707301,-362.196469137073
Terzan 6,HP 5,358.57,1.3,133.9,3.1825613770591614,130.71743862294085
NGC 6496,,348.03,4.2,-108.4,25.44414605829724,-133.84414605829724
NGC 6535,,27.18,3.9,-200.4,-56.52199183156335,-143.87800816843665
NGC 6528,,1.14,0.6,214.9,-2.3186496130790633,217.21864961307907
NGC 6541,,349.29,2.1,-154.2,22.82316605834409,-177.0231660583441
2MS-GC02,2MASS-GC02,9.79,3.2,-227.4,-20.815962498803966,-206.58403750119604
NGC 6558,,0.2,1.0,-189.4,-0.30522672333657663,-189.09477327666343
IC 1276,Pal 7,21.83,3.7,169.2,-45.88895487481814,215.0889548748181
NGC 6584,,342.14,7.0,224.9,37.477884456031134,187.42211554396886
NGC 6681,M 70,2.85,2.2,227.8,-5.983121630624383,233.7831216306244
NGC 6715,M 54,5.61,18.9,149.2,-11.89522728005591,161.0952272800559
Terzan 7,,3.39,15.6,172.5,-7.140372451427047,179.64037245142706
Arp 2,,8.55,21.4,122.4,-18.17603511004051,140.57603511004052
NGC 6809,M 55,8.79,3.9,181.8,-18.687493762262385,200.4874937622624
Terzan 8,,5.76,19.4,136.2,-12.216230252223308,148.4162302522233
NGC 6864,M 75,20.3,14.7,-180.8,-42.779119910414764,-138.02088008958526
NGC 6934,,52.1,12.8,-398.5,-98.80848089878832,-299.69151910121167
NGC 6981,M 72,35.16,12.9,-336.2,-71.5274630386166,-264.6725369613834
NGC 7006,,63.77,38.5,-371.3,-113.00362332630273,-258.2963766736973
Pal 13,,87.1,26.9,30.9,-127.64474223045507,158.54474223045506
