key,Name,FeH_vdb,Age_vdb,FeH_k,Age_k,class,dAge
NGC104,47Tuc,-0.76,11.75,-0.76,12.8,GC,1.0500000000000007
NGC288,XXXX,-1.32,11.5,-1.32,12.2,GC,0.6999999999999993
NGC362,XXXX,-1.3,10.75,-1.26,10.0,GC,-0.75
NGC1261,XXXX,-1.27,10.75,-1.08,10.24,GC,-0.5099999999999998
NGC1851,XXXX,-1.18,11.0,-1.13,7.64,GC,-3.3600000000000003
NGC2808,XXXX,-1.18,11.0,-1.18,11.2,GC,0.1999999999999993
NGC3201,XXXX,-1.51,11.5,-1.51,11.1,GC,-0.40000000000000036
NGC4590,M68,-2.27,12.0,-2.27,12.7,GC,0.6999999999999993
NGC4833,XXXX,-1.89,12.5,-1.71,12.5,GC,0.0
NGC5024,M53,-2.06,12.25,-1.86,12.7,GC,0.4499999999999993
NGC5053,XXXX,-2.3,12.25,-1.98,12.3,GC,0.05000000000000071
NGC5272,M3,-1.5,11.75,-1.34,11.4,GC,-0.34999999999999964
NGC5286,XXXX,-1.7,12.5,-1.41,12.5,GC,0.0
NGC5466,XXXX,-2.31,12.5,-2.2,13.6,GC,1.0999999999999996
NGC5904,M5,-1.33,11.5,-1.33,11.5,GC,0.0
NGC5927,XXXX,-0.29,10.75,-0.64,12.7,GC,1.9499999999999993
NGC5986,XXXX,-1.63,12.25,-1.35,12.2,GC,-0.05000000000000071
NGC6101,XXXX,-1.98,12.25,-1.76,12.5,GC,0.25
NGC6121,M4,-1.18,11.5,-1.98,13.1,GC,1.5999999999999996
NGC6144,XXXX,-1.82,12.75,-1.56,13.8,GC,1.0500000000000007
NGC6171,M107,-1.03,12.0,-1.03,13.4,GC,1.4000000000000004
NGC6205,M13,-1.58,12.0,-1.33,11.7,GC,-0.3000000000000007
NGC6218,M12,-1.33,13.0,-1.43,13.4,GC,0.40000000000000036
NGC6254,M10,-1.57,11.75,-1.57,12.4,GC,0.6500000000000004
NGC6304,XXXX,-0.37,11.25,-0.66,13.6,GC,2.3499999999999996
NGC6341,M92,-2.35,12.75,-2.1,13.2,GC,0.4499999999999993
NGC6352,XXXX,-0.62,10.75,-0.7,12.7,GC,1.9499999999999993
NGC6362,XXXX,-1.07,12.5,-0.99,13.6,GC,1.0999999999999996
NGC6366,XXXX,-0.59,11.0,-0.73,13.3,GC,2.3000000000000007
NGC6397,XXXX,-1.99,13.0,-1.99,13.4,GC,0.40000000000000036
NGC6496,XXXX,-0.46,10.75,-0.7,12.4,GC,1.6500000000000004
NGC6535,XXXX,-1.79,12.75,-1.51,10.5,GC,-2.25
NGC6541,XXXX,-1.82,12.5,-1.53,12.9,GC,0.40000000000000036
NGC6584,XXXX,-1.5,11.75,-1.3,11.3,GC,-0.4499999999999993
NGC6624,XXXX,-0.42,11.25,-0.7,12.5,GC,1.25
NGC6637,M69,-0.59,11.0,-0.78,13.1,GC,2.0999999999999996
NGC6652,XXXX,-0.76,11.25,-0.97,12.0,GC,0.75
NGC6656,M22,-1.7,12.5,-1.49,12.7,GC,0.1999999999999993
NGC6681,M70,-1.62,12.75,-1.35,12.8,GC,0.05000000000000071
NGC6715,M54,-1.44,11.75,-1.25,10.8,GC,-0.9499999999999993
NGC6717,XXXX,-1.26,12.5,-1.09,13.2,GC,0.6999999999999993
NGC6723,XXXX,-1.1,12.5,-0.96,13.1,GC,0.5999999999999996
NGC6752,XXXX,-1.55,12.5,-1.55,13.8,GC,1.3000000000000007
NGC6779,M56,-2.0,12.75,-2.0,13.7,GC,0.9499999999999993
NGC6809,M55,-1.93,13.0,-1.93,13.8,GC,0.8000000000000007
NGC6838,M71,-0.82,11.0,-0.82,12.7,GC,1.6999999999999993
NGC6934,XXXX,-1.56,11.75,-1.32,11.1,GC,-0.6500000000000004
NGC6981,M72,-1.48,11.5,-1.21,10.9,GC,-0.5999999999999996
NGC7078,M15,-2.33,12.75,-2.33,13.6,GC,0.8499999999999996
NGC7089,M2,-1.66,11.75,-1.31,11.8,GC,0.05000000000000071
NGC7099,M30,-2.33,13.0,-2.33,14.6,GC,1.5999999999999996
