ID,Name,L,vel,v_fit,v_resid
NGC 362,,301.53,214.0,19.024800502630207,194.9751994973698
Whiting 1,,161.22,-138.1,0.6985754838779172,-138.79857548387793
Pal 2,,170.53,-140.1,1.9145768731201969,-142.01457687312018
NGC 1851,,244.51,303.8,11.577281789999208,292.2227182100008
NGC 1904,M 79,227.23,189.0,9.320299619633307,179.67970038036668
NGC 3201,,277.23,482.9,15.850919325553164,467.0490806744468
NGC 4147,,252.85,186.1,12.666589156946642,173.43341084305337
NGC 4833,,303.6,192.9,19.295168158455297,173.6048318415447
NGC 5139,omega Cen,309.1,228.9,20.013536326106482,208.88646367389353
NGC 5466,,42.15,121.2,-14.85344228379962,136.05344228379963
NGC 5694,,331.06,-136.2,22.881784500946473,-159.08178450094647
NGC 5927,,326.6,-107.2,22.299253223178425,-129.4992532231784
NGC 6101,,317.74,357.0,21.142027411289426,335.8579725887106
NGC 6144,,351.93,201.9,25.60766516619742,176.29233483380258
Terzan 3,,345.08,-130.6,24.7129702664864,-155.3129702664864
NGC 6205,M 13,59.01,-228.0,-12.651317318963446,-215.34868268103656
NGC 6229,,73.64,-138.4,-10.740457993011296,-127.65954200698872
NGC 6287,,0.13,-279.1,-20.341775084654664,-258.75822491534535
NGC 6293,,357.62,-137.4,26.350849688731103,-163.7508496887311
NGC 6333,M 9,5.54,239.8,-19.635162032474135,259.4351620324741
NGC 6342,,4.9,126.3,-19.71875396470991,146.0187539647099
NGC 6355,,359.59,-167.9,26.60815610514434,-194.50815610514434
NGC 6352,,341.42,-134.1,24.234928904013074,-158.33492890401305
Ton 2,Pismis 26,350.8,-178.6,25.460073160843635,-204.06007316084361
Pal 6,,2.1,190.2,-20.08446866824142,210.2844686682414
NGC 6426,,28.09,-146.9,-16.689852545104284,-130.21014745489572
Djorg 1,,356.69,-355.0,26.22938016220099,-381.229380162201
NGC 6496,,348.03,-108.4,25.09827682913567,-133.49827682913568
NGC 6535,,27.18,-200.4,-16.808709823752025,-183.59129017624798
NGC 6528,,1.14,214.9,-20.209856566595082,235.10985656659508
NGC 6541,,349.29,-154.2,25.262848445724856,-179.46284844572483
2MS-GC02,2MASS-GC02,9.79,-227.4,-19.080059357470947,-208.31994064252905
NGC 6558,,0.2,-189.4,-20.332632217066376,-169.06736778293362
IC 1276,Pal 7,21.83,169.2,-17.50748613228545,186.70748613228545
NGC 6584,,342.14,224.9,24.328969827778316,200.5710301722217
NGC 6681,M 70,2.85,227.8,-19.986509372652623,247.78650937265263
NGC 6715,M 54,5.61,149.2,-19.62601916488585,168.82601916488585
Terzan 7,,3.39,172.5,-19.91597867982869,192.4159786798287
Arp 2,,8.55,122.4,-19.24201872617776,141.64201872617775
NGC 6809,M 55,8.79,181.8,-19.210671751589345,201.01067175158937
Terzan 8,,5.76,136.2,-19.60642730576809,155.80642730576807
NGC 6864,M 75,20.3,-180.8,-17.707323095286597,-163.09267690471341
NGC 6934,,52.1,-398.5,-13.553848962321569,-384.9461510376784
NGC 6981,M 72,35.16,-336.2,-15.766422918687216,-320.43357708131276
NGC 7006,,63.77,-371.3,-12.029602322959875,-359.27039767704014
NGC 7099,M 30,27.18,-179.6,-16.808709823752025,-162.79129017624797
NGC 7492,,53.39,-176.2,-13.385358973908836,-162.81464102609115
