ID,Name,ID,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0
104,NGC 104,47Tuc,-0.76,11.75,0.25,V,14,11.50–11.75,-0.99,7.4,-9.42,54.8,5.061
288,NGC 288,XXXX,-1.32,11.5,0.38,H,24,,0.98,12,-6.75,10.9,2.953
362,NGC 362,XXXX,-1.3,10.75,0.25,V,13,10.75–11.00,-0.87,9.4,-8.43,44.4,4.938
1261,NGC 1261,XXXX,-1.27,10.75,0.25,V,13,10.75–11.25,-0.71,18.1,-7.8,23.6,3.913
1851,NGC 1851,XXXX,-1.18,11,0.25,V,13,10.75–11.25,-0.32,16.6,-8.33,47.6,5.136
2808,NGC 2808,XXXX,-1.18,11,0.38,V,13,11.00–11.25,-0.49,11.1,-9.39,62.4,5.07
3201,NGC 3201,XXXX,-1.51,11.5,0.38,A,Dec-30,11.25–11.75,0.08,8.8,-7.45,17.9,3.599
4147,NGC 4147,XXXX,-1.78,12.25,0.25,V,11,12.25–12.50,0.66,21.4,-6.17,14.2,3.886
4590,NGC 4590,M68,-2.27,12,0.25,V,11,12,0.17,10.2,-7.37,16.9,3.559
4833,NGC 4833,XXXX,-1.89,12.5,0.5,A,30,,0.93,7,-8.17,25,3.885
5024,NGC 5024,M53,-2.06,12.25,0.25,V,12,12.25–12.50,0.81,18.4,-8.71,25.8,3.866
5053,NGC 5053,XXXX,-2.3,12.25,0.38,A,12,12.25–12.50,0.52,17.8,-6.76,7.2,2.196
5272,NGC 5272,M3,-1.5,11.75,0.25,V,22,,0.08,12,-8.88,32.1,4.254
5286,NGC 5286,XXXX,-1.7,12.5,0.38,A,Dec-30,11.75–12.25,0.8,8.9,-8.74,42.7,4.628
5466,NGC 5466,XXXX,-2.31,12.5,0.25,V,Nov-30,12.25–12.50,0.58,16.3,-6.98,8.6,2.453
5904,NGC 5904,M5,-1.33,11.5,0.25,V,8,11.50–11.75,0.31,6.2,-8.81,37,4.457
5927,NGC 5927,XXXX,-0.29,10.75,0.38,V,16,10.50–10.75,-1,4.6,-7.81,25.4,4.156
5986,NGC 5986,XXXX,-1.63,12.25,0.75,A,30,,0.97,4.8,-8.44,33.1,4.259
6101,NGC 6101,XXXX,-1.98,12.25,0.5,H,30,,0.84,11.2,-6.94,11.8,2.98
6121,NGC 6121,M4,-1.18,11.5,0.38,V,13,11.25–11.50,-0.06,5.9,-7.19,20.8,4.07
6144,NGC 6144,XXXX,-1.82,12.75,0.5,H,30,,1,2.7,-6.85,10.4,2.975
6171,NGC 6171,M107,-1.03,12,0.75,V,13,,-0.73,3.3,-7.12,18.2,3.832
6205,NGC 6205,M13,-1.58,12,0.38,A,20-22,,0.97,8.4,-8.56,31.7,4.219
6218,NGC 6218,M12,-1.33,13,0.5,A,24-26,,0.98,4.5,-7.31,21.2,3.961
6254,NGC 6254,M10,-1.57,11.75,0.38,H,30,,0.98,4.6,-7.48,23.9,4.112
6304,NGC 6304,XXXX,-0.37,11.25,0.38,V,16,11.00–11.25,-1,2.3,-7.3,28.8,4.656
6341,NGC 6341,M92,-2.35,12.75,0.25,V,11,12.75–13.25,0.91,9.6,-8.21,35.8,4.618
6352,NGC 6352,XXXX,-0.62,10.75,0.38,V,16,10.50–11.00,-1,3.3,-6.47,14.6,3.592
6362,NGC 6362,XXXX,-1.07,12.5,0.25,V,13,12.25–12.75,-0.58,5.1,-6.95,13.5,3.261
6366,NGC 6366,XXXX,-0.59,11,0.5,V,16,11,-0.97,5,-5.74,9.8,3.135
6397,NGC 6397,XXXX,-1.99,13,0.25,A,30,13,0.98,6,-6.64,35.9,5.759
6496,NGC 6496,XXXX,-0.46,10.75,0.38,V,16,10.50–10.75,-1,4.2,-7.2,16.7,3.459
6535,NGC 6535,XXXX,-1.79,12.75,0.5,V,32,,1,3.9,-4.75,8.2,3.327
6541,NGC 6541,XXXX,-1.82,12.5,0.5,H,30,,1,2.1,-8.52,46.3,5.019
6584,NGC 6584,XXXX,-1.5,11.75,0.25,A,Dec-30,,-0.15,7,-7.69,24.7,4.112
6624,NGC 6624,XXXX,-0.42,11.25,0.5,V,16,11.00–11.25,-1,1.2,-7.49,26.2,4.869
6637,NGC 6637,M69,-0.59,11,0.38,V,16,11.00–11.25,-1,1.7,-7.64,27.7,4.308
6652,NGC 6652,XXXX,-0.76,11.25,0.25,V,16,11.00–11.25,-1,2.7,-6.66,23.9,4.583
6656,NGC 6656,M22,-1.7,12.5,0.5,H,30,,0.91,4.9,-8.5,33.9,4.311
6681,NGC 6681,M70,-1.62,12.75,0.38,A,30-32,,0.96,2.2,-7.12,29.3,5.21
6715,NGC 6715,M54,-1.44,11.75,0.5,V,32,,0.54,18.9,-9.98,59.7,4.968
6717,NGC 6717,XXXX,-1.26,12.5,0.5,V,13,,0.98,2.4,-5.66,16.3,4.458
6723,NGC 6723,XXXX,-1.1,12.5,0.25,V,13,12.25–12.75,-0.08,2.6,-7.83,21.9,3.755
6752,NGC 6752,XXXX,-1.55,12.5,0.25,A,30,,1,5.2,-7.73,24.5,4.655
6779,NGC 6779,M56,-2,12.75,0.5,H,30,,0.98,9.2,-7.41,20.8,3.905
6809,NGC 6809,M55,-1.93,13,0.25,A,Dec-30,12.75–13.25,0.87,3.9,-7.57,18.3,3.515
6838,NGC 6838,M71,-0.82,11,0.38,V,16,11,-1,6.7,-5.61,13,3.746
6934,NGC 6934,XXXX,-1.56,11.75,0.25,V,Dec-30,11.50–12.00,0.25,12.8,-7.45,21.6,3.998
6981,NGC 6981,M72,-1.48,11.5,0.25,V,Dec-30,11.25–11.75,0.14,12.9,-7.04,13.9,3.304
7078,NGC 7078,M15,-2.33,12.75,0.25,V,11,12.50–12.75,0.67,10.4,-9.19,41.6,4.827
7089,NGC 7089,M2,-1.66,11.75,0.25,A,Dec-30,11.50–11.75,0.92,10.4,-9.03,41.8,4.531
7099,NGC 7099,M30,-2.33,13,0.25,A,Nov-30,12.75–13.00,0.89,7.1,-7.45,25.4,4.831
XXXX,Arp 2,,-1.74,12,0.38,V,32,,0.53,21.4,-5.29,3.5,1.545
XXXX,Pal 12,,-0.81,9,0.38,V,32,,-1,15.8,-4.47,4.3,3.297
XXXX,Terzan 8,,-2.34,13,0.38,V,32,,1,19.4,-5.07,4.3,1.938
